module	class	category	subcategory	name
M00131	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol
M00132	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate
M00165	Pathway modules	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle (Calvin cycle)
M00166	Pathway modules	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
M00167	Pathway modules	Energy metabolism	Carbon fixation	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
M00168	Pathway modules	Energy metabolism	Carbon fixation	CAM (Crassulacean acid metabolism), dark
M00169	Pathway modules	Energy metabolism	Carbon fixation	CAM (Crassulacean acid metabolism), light
M00172	Pathway modules	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, NADP - malic enzyme type
M00171	Pathway modules	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00170	Pathway modules	Energy metabolism	Carbon fixation	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
M00173	Pathway modules	Energy metabolism	Carbon fixation	Reductive citrate cycle (Arnon-Buchanan cycle)
M00376	Pathway modules	Energy metabolism	Carbon fixation	3-Hydroxypropionate bi-cycle
M00375	Pathway modules	Energy metabolism	Carbon fixation	Hydroxypropionate-hydroxybutylate cycle
M00374	Pathway modules	Energy metabolism	Carbon fixation	Dicarboxylate-hydroxybutyrate cycle
M00377	Pathway modules	Energy metabolism	Carbon fixation	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00579	Pathway modules	Energy metabolism	Carbon fixation	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate
M00620	Pathway modules	Energy metabolism	Carbon fixation	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
M00567	Pathway modules	Energy metabolism	Methane metabolism	Methanogenesis, CO2 => methane
M00357	Pathway modules	Energy metabolism	Methane metabolism	Methanogenesis, acetate => methane
M00356	Pathway modules	Energy metabolism	Methane metabolism	Methanogenesis, methanol => methane
M00563	Pathway modules	Energy metabolism	Methane metabolism	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane
M00358	Pathway modules	Energy metabolism	Methane metabolism	Coenzyme M biosynthesis
M00608	Pathway modules	Energy metabolism	Methane metabolism	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate
M00174	Pathway modules	Energy metabolism	Methane metabolism	Methane oxidation, methanotroph, methane => formaldehyde
M00346	Pathway modules	Energy metabolism	Methane metabolism	Formaldehyde assimilation, serine pathway
M00345	Pathway modules	Energy metabolism	Methane metabolism	Formaldehyde assimilation, ribulose monophosphate pathway
M00344	Pathway modules	Energy metabolism	Methane metabolism	Formaldehyde assimilation, xylulose monophosphate pathway
M00378	Pathway modules	Energy metabolism	Methane metabolism	F420 biosynthesis, archaea
M00935	Pathway modules	Energy metabolism	Methane metabolism	Methanofuran biosynthesis
M00422	Pathway modules	Energy metabolism	Methane metabolism	Acetyl-CoA pathway, CO2 => acetyl-CoA
M00175	Pathway modules	Energy metabolism	Nitrogen metabolism	Nitrogen fixation, nitrogen => ammonia
M00531	Pathway modules	Energy metabolism	Nitrogen metabolism	Assimilatory nitrate reduction, nitrate => ammonia
M00530	Pathway modules	Energy metabolism	Nitrogen metabolism	Dissimilatory nitrate reduction, nitrate => ammonia
M00529	Pathway modules	Energy metabolism	Nitrogen metabolism	Denitrification, nitrate => nitrogen
M00528	Pathway modules	Energy metabolism	Nitrogen metabolism	Nitrification, ammonia => nitrite
M00804	Pathway modules	Energy metabolism	Nitrogen metabolism	Complete nitrification, comammox, ammonia => nitrite => nitrate
M00973	Pathway modules	Energy metabolism	Nitrogen metabolism	Anammox, nitrite + ammonia => nitrogen
M00176	Pathway modules	Energy metabolism	Sulfur metabolism	Assimilatory sulfate reduction, sulfate => H2S
M00596	Pathway modules	Energy metabolism	Sulfur metabolism	Dissimilatory sulfate reduction, sulfate => H2S
M00595	Pathway modules	Energy metabolism	Sulfur metabolism	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate
M00161	Pathway modules	Energy metabolism	Photosynthesis	Photosystem II
M00163	Pathway modules	Energy metabolism	Photosynthesis	Photosystem I
M00597	Pathway modules	Energy metabolism	Photosynthesis	Anoxygenic photosystem II
M00598	Pathway modules	Energy metabolism	Photosynthesis	Anoxygenic photosystem I
M00144	Pathway modules	Energy metabolism	ATP synthesis	NADH:quinone oxidoreductase, prokaryotes
M00145	Pathway modules	Energy metabolism	ATP synthesis	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria
M00142	Pathway modules	Energy metabolism	ATP synthesis	NADH:ubiquinone oxidoreductase, mitochondria
M00143	Pathway modules	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
M00146	Pathway modules	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
M00147	Pathway modules	Energy metabolism	ATP synthesis	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
M00149	Pathway modules	Energy metabolism	ATP synthesis	Succinate dehydrogenase, prokaryotes
M00150	Pathway modules	Energy metabolism	ATP synthesis	Fumarate reductase, prokaryotes
M00148	Pathway modules	Energy metabolism	ATP synthesis	Succinate dehydrogenase (ubiquinone)
M00162	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome b6f complex
M00151	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome bc1 complex respiratory unit
M00152	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome bc1 complex
M00154	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome c oxidase
M00155	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome c oxidase, prokaryotes
M00153	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome bd ubiquinol oxidase
M00417	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome o ubiquinol oxidase
M00416	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome aa3-600 menaquinol oxidase
M00156	Pathway modules	Energy metabolism	ATP synthesis	Cytochrome c oxidase, cbb3-type
M00157	Pathway modules	Energy metabolism	ATP synthesis	F-type ATPase, prokaryotes and chloroplasts
M00158	Pathway modules	Energy metabolism	ATP synthesis	F-type ATPase, eukaryotes
M00159	Pathway modules	Energy metabolism	ATP synthesis	V/A-type ATPase, prokaryotes
M00160	Pathway modules	Energy metabolism	ATP synthesis	V-type ATPase, eukaryotes
M00082	Pathway modules	Lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, initiation
M00083	Pathway modules	Lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis, elongation
M00873	Pathway modules	Lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis in mitochondria, animals
M00874	Pathway modules	Lipid metabolism	Fatty acid metabolism	Fatty acid biosynthesis in mitochondria, fungi
M00085	Pathway modules	Lipid metabolism	Fatty acid metabolism	Fatty acid elongation in mitochondria
M00415	Pathway modules	Lipid metabolism	Fatty acid metabolism	Fatty acid elongation in endoplasmic reticulum
M00086	Pathway modules	Lipid metabolism	Fatty acid metabolism	beta-Oxidation, acyl-CoA synthesis
M00087	Pathway modules	Lipid metabolism	Fatty acid metabolism	beta-Oxidation
M00861	Pathway modules	Lipid metabolism	Fatty acid metabolism	beta-Oxidation, peroxisome, VLCFA
M00101	Pathway modules	Lipid metabolism	Sterol biosynthesis	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol
M00102	Pathway modules	Lipid metabolism	Sterol biosynthesis	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol
M00917	Pathway modules	Lipid metabolism	Sterol biosynthesis	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
M00103	Pathway modules	Lipid metabolism	Sterol biosynthesis	Cholecalciferol biosynthesis
M00104	Pathway modules	Lipid metabolism	Sterol biosynthesis	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
M00106	Pathway modules	Lipid metabolism	Sterol biosynthesis	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
M00862	Pathway modules	Lipid metabolism	Sterol biosynthesis	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA
M00107	Pathway modules	Lipid metabolism	Sterol biosynthesis	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone
M00108	Pathway modules	Lipid metabolism	Sterol biosynthesis	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
M00109	Pathway modules	Lipid metabolism	Sterol biosynthesis	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
M00110	Pathway modules	Lipid metabolism	Sterol biosynthesis	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
M00088	Pathway modules	Lipid metabolism	Lipid metabolism	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
M00089	Pathway modules	Lipid metabolism	Lipid metabolism	Triacylglycerol biosynthesis
M00098	Pathway modules	Lipid metabolism	Lipid metabolism	Acylglycerol degradation
M00090	Pathway modules	Lipid metabolism	Lipid metabolism	Phosphatidylcholine (PC) biosynthesis, choline => PC
M00091	Pathway modules	Lipid metabolism	Lipid metabolism	Phosphatidylcholine (PC) biosynthesis, PE => PC
M00092	Pathway modules	Lipid metabolism	Lipid metabolism	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
M00093	Pathway modules	Lipid metabolism	Lipid metabolism	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
M00094	Pathway modules	Lipid metabolism	Lipid metabolism	Ceramide biosynthesis
M00066	Pathway modules	Lipid metabolism	Lipid metabolism	Lactosylceramide biosynthesis
M00067	Pathway modules	Lipid metabolism	Lipid metabolism	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid
M00099	Pathway modules	Lipid metabolism	Lipid metabolism	Sphingosine biosynthesis
M00100	Pathway modules	Lipid metabolism	Lipid metabolism	Sphingosine degradation
M00113	Pathway modules	Lipid metabolism	Lipid metabolism	Jasmonic acid biosynthesis
M00048	Pathway modules	Nucleotide metabolism	Purine metabolism	De novo purine biosynthesis, PRPP + glutamine => IMP
M00049	Pathway modules	Nucleotide metabolism	Purine metabolism	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
M00050	Pathway modules	Nucleotide metabolism	Purine metabolism	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
M00053	Pathway modules	Nucleotide metabolism	Purine metabolism	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
M00958	Pathway modules	Nucleotide metabolism	Purine metabolism	Adenine ribonucleotide degradation, AMP => Urate
M00959	Pathway modules	Nucleotide metabolism	Purine metabolism	Guanine ribonucleotide degradation, GMP => Urate
M00546	Pathway modules	Nucleotide metabolism	Purine metabolism	Purine degradation, xanthine => urea
M00051	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
M00052	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
M00938	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
M00046	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate
M00939	Pathway modules	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine degradation, uracil => 3-hydroxypropanoate
M00020	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	Serine biosynthesis, glycerate-3P => serine
M00018	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	Threonine biosynthesis, aspartate => homoserine => threonine
M00621	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	Glycine cleavage system
M00555	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	Betaine biosynthesis, choline => betaine
M00033	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	Ectoine biosynthesis, aspartate => ectoine
M00919	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	Ectoine degradation, ectoine => aspartate
M00021	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Cysteine biosynthesis, serine => cysteine
M00338	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Cysteine biosynthesis, homocysteine + serine => cysteine
M00609	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Cysteine biosynthesis, methionine => cysteine
M00017	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Methionine biosynthesis, aspartate => homoserine => methionine
M00034	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Methionine salvage pathway
M00035	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Methionine degradation
M00368	Pathway modules	Amino acid metabolism	Cysteine and methionine metabolism	Ethylene biosynthesis, methionine => ethylene
M00019	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00535	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
M00570	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
M00432	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
M00036	Pathway modules	Amino acid metabolism	Branched-chain amino acid metabolism	Leucine degradation, leucine => acetoacetate + acetyl-CoA
M00016	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00525	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00526	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
M00527	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
M00030	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00433	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
M00031	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00032	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00956	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine degradation, bacteria, L-lysine => succinate
M00957	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
M00960	Pathway modules	Amino acid metabolism	Lysine metabolism	Lysine degradation, bacteria, L-lysine => D-lysine => succinate
M00028	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Ornithine biosynthesis, glutamate => ornithine
M00763	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine
M00844	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Arginine biosynthesis, ornithine => arginine
M00845	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
M00029	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Urea cycle
M00015	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Proline biosynthesis, glutamate => proline
M00970	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Proline degradation, proline => glutamate
M00972	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Proline metabolism
M00047	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Creatine pathway
M00879	Pathway modules	Amino acid metabolism	Arginine and proline metabolism	Arginine succinyltransferase pathway, arginine => glutamate
M00133	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine
M00134	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	Polyamine biosynthesis, arginine => ornithine => putrescine
M00135	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	GABA biosynthesis, eukaryotes, putrescine => GABA
M00136	Pathway modules	Amino acid metabolism	Polyamine biosynthesis	GABA biosynthesis, prokaryotes, putrescine => GABA
M00026	Pathway modules	Amino acid metabolism	Histidine metabolism	Histidine biosynthesis, PRPP => histidine
M00045	Pathway modules	Amino acid metabolism	Histidine metabolism	Histidine degradation, histidine => N-formiminoglutamate => glutamate
M00022	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00023	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Tryptophan biosynthesis, chorismate => tryptophan
M00024	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine
M00910	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine
M00025	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Tyrosine biosynthesis, chorismate => HPP => tyrosine
M00040	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Tyrosine biosynthesis, chorismate => arogenate => tyrosine
M00042	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline
M00043	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine
M00044	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Tyrosine degradation, tyrosine => homogentisate
M00533	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate
M00037	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Melatonin biosynthesis, animals, tryptophan => serotonin => melatonin
M00936	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin
M00038	Pathway modules	Amino acid metabolism	Aromatic amino acid metabolism	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate
M00027	Pathway modules	Amino acid metabolism	Other amino acid metabolism	GABA (gamma-Aminobutyrate) shunt
M00369	Pathway modules	Amino acid metabolism	Other amino acid metabolism	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin
M00118	Pathway modules	Amino acid metabolism	Other amino acid metabolism	Glutathione biosynthesis, glutamate => glutathione
M00947	Pathway modules	Amino acid metabolism	Other amino acid metabolism	D-Arginine racemization, D-arginine => L-arginine
M00948	Pathway modules	Amino acid metabolism	Other amino acid metabolism	Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate
M00949	Pathway modules	Amino acid metabolism	Other amino acid metabolism	Staphylopine biosynthesis, L-histidine => staphylopine
M00055	Pathway modules	Glycan metabolism	Glycan biosynthesis	N-glycan precursor biosynthesis
M00072	Pathway modules	Glycan metabolism	Glycan biosynthesis	N-glycosylation by oligosaccharyltransferase
M00073	Pathway modules	Glycan metabolism	Glycan biosynthesis	N-glycan precursor trimming
M00074	Pathway modules	Glycan metabolism	Glycan biosynthesis	N-glycan biosynthesis, high-mannose type
M00075	Pathway modules	Glycan metabolism	Glycan biosynthesis	N-glycan biosynthesis, complex type
M00056	Pathway modules	Glycan metabolism	Glycan biosynthesis	O-glycan biosynthesis, mucin type core
M00872	Pathway modules	Glycan metabolism	Glycan biosynthesis	O-glycan biosynthesis, mannose type (core M3)
M00065	Pathway modules	Glycan metabolism	Glycan biosynthesis	GPI-anchor biosynthesis, core oligosaccharide
M00070	Pathway modules	Glycan metabolism	Glycan biosynthesis	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer
M00071	Pathway modules	Glycan metabolism	Glycan biosynthesis	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer
M00068	Pathway modules	Glycan metabolism	Glycan biosynthesis	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer
M00069	Pathway modules	Glycan metabolism	Glycan biosynthesis	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3
M00057	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Glycosaminoglycan biosynthesis, linkage tetrasaccharide
M00058	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Glycosaminoglycan biosynthesis, chondroitin sulfate backbone
M00059	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Glycosaminoglycan biosynthesis, heparan sulfate backbone
M00076	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Dermatan sulfate degradation
M00077	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Chondroitin sulfate degradation
M00078	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Heparan sulfate degradation
M00079	Pathway modules	Glycan metabolism	Glycosaminoglycan metabolism	Keratan sulfate degradation
M00060	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
M00866	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
M00867	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	KDO2-lipid A modification pathway
M00063	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	CMP-KDO biosynthesis
M00064	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	ADP-L-glycero-D-manno-heptose biosynthesis
M00922	Pathway modules	Glycan metabolism	Lipopolysaccharide metabolism	CMP-Neu5Ac biosynthesis
